RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,1,American Airlines,318,0,0.0,0,0,0,0,0
OnTime,ATL,2,American Airlines,286,0,0.0,0,0,0,0,0
OnTime,ATL,3,American Airlines,388,0,0.0,0,0,0,0,0
OnTime,ATL,4,American Airlines,386,0,0.0,0,0,0,0,0
OnTime,ATL,5,American Airlines,384,0,0.0,0,0,0,0,0
OnTime,ATL,6,American Airlines,385,0,0.0,0,0,0,0,0
OnTime,ATL,7,American Airlines,856,0,0.0,0,0,0,0,0
OnTime,ATL,8,American Airlines,829,0,0.0,0,0,0,0,0
OnTime,ATL,9,American Airlines,830,0,0.0,0,0,0,0,0
OnTime,ATL,10,American Airlines,868,0,0.0,0,0,0,0,0
OnTime,ATL,11,American Airlines,783,0,0.0,0,0,0,0,0
OnTime,ATL,12,American Airlines,761,0,0.0,0,0,0,0,0
OnTime,ATL,1,Alaska Airlines,25,0,0.0,0,0,0,0,0
OnTime,ATL,2,Alaska Airlines,26,0,0.0,0,0,0,0,0
OnTime,ATL,3,Alaska Airlines,31,0,0.0,0,0,0,0,0
OnTime,ATL,4,Alaska Airlines,25,0,0.0,0,0,0,0,0
OnTime,ATL,5,Alaska Airlines,25,0,0.0,0,0,0,0,0
OnTime,ATL,6,Alaska Airlines,24,0,0.0,0,0,0,0,0
OnTime,ATL,7,Alaska Airlines,28,0,0.0,0,0,0,0,0
OnTime,ATL,8,Alaska Airlines,29,0,0.0,0,0,0,0,0
OnTime,ATL,9,Alaska Airlines,51,0,0.0,0,0,0,0,0
OnTime,ATL,10,Alaska Airlines,52,0,0.0,0,0,0,0,0
OnTime,ATL,11,Alaska Airlines,53,0,0.0,0,0,0,0,0
OnTime,ATL,12,Alaska Airlines,47,0,0.0,0,0,0,0,0
OnTime,ATL,1,Delta Air Lines,16353,0,0.0,0,0,0,0,0
OnTime,ATL,2,Delta Air Lines,14004,0,0.0,0,0,0,0,0
OnTime,ATL,3,Delta Air Lines,18231,0,0.0,0,0,0,0,0
OnTime,ATL,4,Delta Air Lines,17719,0,0.0,0,0,0,0,0
OnTime,ATL,5,Delta Air Lines,18078,0,0.0,0,0,0,0,0
OnTime,ATL,6,Delta Air Lines,16864,0,0.0,0,0,0,0,0
OnTime,ATL,7,Delta Air Lines,17916,0,0.0,0,0,0,0,0
OnTime,ATL,8,Delta Air Lines,18292,0,0.0,0,0,0,0,0
OnTime,ATL,9,Delta Air Lines,18360,0,0.0,0,0,0,0,0
OnTime,ATL,10,Delta Air Lines,19652,0,0.0,0,0,0,0,0
OnTime,ATL,11,Delta Air Lines,18261,0,0.0,0,0,0,0,0
OnTime,ATL,12,Delta Air Lines,16345,0,0.0,0,0,0,0,0
OnTime,ATL,1,ExpressJet Airlines,4129,0,0.0,0,0,0,0,0
OnTime,ATL,2,ExpressJet Airlines,3362,0,0.0,0,0,0,0,0
OnTime,ATL,3,ExpressJet Airlines,4408,0,0.0,0,0,0,0,0
OnTime,ATL,4,ExpressJet Airlines,4190,0,0.0,0,0,0,0,0
OnTime,ATL,5,ExpressJet Airlines,4178,0,0.0,0,0,0,0,0
OnTime,ATL,6,ExpressJet Airlines,4115,0,0.0,0,0,0,0,0
OnTime,ATL,7,ExpressJet Airlines,4227,0,0.0,0,0,0,0,0
OnTime,ATL,8,ExpressJet Airlines,4212,0,0.0,0,0,0,0,0
OnTime,ATL,9,ExpressJet Airlines,4093,0,0.0,0,0,0,0,0
OnTime,ATL,10,ExpressJet Airlines,4239,0,0.0,0,0,0,0,0
OnTime,ATL,11,ExpressJet Airlines,3514,0,0.0,0,0,0,0,0
OnTime,ATL,12,ExpressJet Airlines,4038,0,0.0,0,0,0,0,0
OnTime,ATL,1,Frontier Airlines,112,0,0.0,0,0,0,0,0
OnTime,ATL,2,Frontier Airlines,87,0,0.0,0,0,0,0,0
OnTime,ATL,3,Frontier Airlines,157,0,0.0,0,0,0,0,0
OnTime,ATL,4,Frontier Airlines,186,0,0.0,0,0,0,0,0
OnTime,ATL,5,Frontier Airlines,350,0,0.0,0,0,0,0,0
OnTime,ATL,6,Frontier Airlines,315,0,0.0,0,0,0,0,0
OnTime,ATL,7,Frontier Airlines,319,0,0.0,0,0,0,0,0
OnTime,ATL,8,Frontier Airlines,372,0,0.0,0,0,0,0,0
OnTime,ATL,9,Frontier Airlines,440,0,0.0,0,0,0,0,0
OnTime,ATL,10,Frontier Airlines,441,0,0.0,0,0,0,0,0
OnTime,ATL,11,Frontier Airlines,275,0,0.0,0,0,0,0,0
OnTime,ATL,12,Frontier Airlines,316,0,0.0,0,0,0,0,0
OnTime,ATL,1,Envoy Air,73,0,0.0,0,0,0,0,0
OnTime,ATL,2,Envoy Air,72,0,0.0,0,0,0,0,0
OnTime,ATL,3,Envoy Air,63,0,0.0,0,0,0,0,0
OnTime,ATL,4,Envoy Air,97,0,0.0,0,0,0,0,0
OnTime,ATL,5,Envoy Air,97,0,0.0,0,0,0,0,0
OnTime,ATL,6,Envoy Air,100,0,0.0,0,0,0,0,0
OnTime,ATL,7,Envoy Air,110,0,0.0,0,0,0,0,0
OnTime,ATL,8,Envoy Air,123,0,0.0,0,0,0,0,0
OnTime,ATL,9,Envoy Air,55,0,0.0,0,0,0,0,0
OnTime,ATL,10,Envoy Air,30,0,0.0,0,0,0,0,0
OnTime,ATL,11,Envoy Air,14,0,0.0,0,0,0,0,0
OnTime,ATL,1,Spirit Airlines,177,0,0.0,0,0,0,0,0
OnTime,ATL,2,Spirit Airlines,154,0,0.0,0,0,0,0,0
OnTime,ATL,3,Spirit Airlines,189,0,0.0,0,0,0,0,0
OnTime,ATL,4,Spirit Airlines,173,0,0.0,0,0,0,0,0
OnTime,ATL,5,Spirit Airlines,194,0,0.0,0,0,0,0,0
OnTime,ATL,6,Spirit Airlines,173,0,0.0,0,0,0,0,0
OnTime,ATL,7,Spirit Airlines,256,0,0.0,0,0,0,0,0
OnTime,ATL,8,Spirit Airlines,276,0,0.0,0,0,0,0,0
OnTime,ATL,9,Spirit Airlines,352,0,0.0,0,0,0,0,0
OnTime,ATL,10,Spirit Airlines,412,0,0.0,0,0,0,0,0
OnTime,ATL,11,Spirit Airlines,408,0,0.0,0,0,0,0,0
OnTime,ATL,12,Spirit Airlines,331,0,0.0,0,0,0,0,0
OnTime,ATL,1,SkyWest Airlines,199,0,0.0,0,0,0,0,0
OnTime,ATL,2,SkyWest Airlines,238,0,0.0,0,0,0,0,0
OnTime,ATL,3,SkyWest Airlines,278,0,0.0,0,0,0,0,0
OnTime,ATL,4,SkyWest Airlines,267,0,0.0,0,0,0,0,0
OnTime,ATL,5,SkyWest Airlines,312,0,0.0,0,0,0,0,0
OnTime,ATL,6,SkyWest Airlines,214,0,0.0,0,0,0,0,0
OnTime,ATL,7,SkyWest Airlines,303,0,0.0,0,0,0,0,0
OnTime,ATL,8,SkyWest Airlines,355,0,0.0,0,0,0,0,0
OnTime,ATL,9,SkyWest Airlines,341,0,0.0,0,0,0,0,0
OnTime,ATL,10,SkyWest Airlines,339,0,0.0,0,0,0,0,0
OnTime,ATL,11,SkyWest Airlines,382,0,0.0,0,0,0,0,0
OnTime,ATL,12,SkyWest Airlines,317,0,0.0,0,0,0,0,0
OnTime,ATL,1,United Airlines,164,0,0.0,0,0,0,0,0
OnTime,ATL,2,United Airlines,158,0,0.0,0,0,0,0,0
OnTime,ATL,3,United Airlines,244,0,0.0,0,0,0,0,0
OnTime,ATL,4,United Airlines,250,0,0.0,0,0,0,0,0
OnTime,ATL,5,United Airlines,245,0,0.0,0,0,0,0,0
OnTime,ATL,6,United Airlines,237,0,0.0,0,0,0,0,0
OnTime,ATL,7,United Airlines,217,0,0.0,0,0,0,0,0
OnTime,ATL,8,United Airlines,248,0,0.0,0,0,0,0,0
OnTime,ATL,9,United Airlines,286,0,0.0,0,0,0,0,0
OnTime,ATL,10,United Airlines,341,0,0.0,0,0,0,0,0
OnTime,ATL,11,United Airlines,259,0,0.0,0,0,0,0,0
OnTime,ATL,12,United Airlines,209,0,0.0,0,0,0,0,0
OnTime,ATL,1,US Airways,429,0,0.0,0,0,0,0,0
OnTime,ATL,2,US Airways,376,0,0.0,0,0,0,0,0
OnTime,ATL,3,US Airways,425,0,0.0,0,0,0,0,0
OnTime,ATL,4,US Airways,360,0,0.0,0,0,0,0,0
OnTime,ATL,5,US Airways,440,0,0.0,0,0,0,0,0
OnTime,ATL,6,US Airways,415,0,0.0,0,0,0,0,0
OnTime,ATL,1,Southwest Airlines,2867,0,0.0,0,0,0,0,0
OnTime,ATL,2,Southwest Airlines,2615,0,0.0,0,0,0,0,0
OnTime,ATL,3,Southwest Airlines,2950,0,0.0,0,0,0,0,0
OnTime,ATL,4,Southwest Airlines,2888,0,0.0,0,0,0,0,0
OnTime,ATL,5,Southwest Airlines,2928,0,0.0,0,0,0,0,0
OnTime,ATL,6,Southwest Airlines,2548,0,0.0,0,0,0,0,0
OnTime,ATL,7,Southwest Airlines,2596,0,0.0,0,0,0,0,0
OnTime,ATL,8,Southwest Airlines,2809,0,0.0,0,0,0,0,0
OnTime,ATL,9,Southwest Airlines,3050,0,0.0,0,0,0,0,0
OnTime,ATL,10,Southwest Airlines,3189,0,0.0,0,0,0,0,0
OnTime,ATL,11,Southwest Airlines,2948,0,0.0,0,0,0,0,0
OnTime,ATL,12,Southwest Airlines,2802,0,0.0,0,0,0,0,0
OnTime,DEN,1,American Airlines,324,0,0.0,0,0,0,0,0
OnTime,DEN,2,American Airlines,288,0,0.0,0,0,0,0,0
OnTime,DEN,3,American Airlines,365,0,0.0,0,0,0,0,0
OnTime,DEN,4,American Airlines,348,0,0.0,0,0,0,0,0
OnTime,DEN,5,American Airlines,333,0,0.0,0,0,0,0,0
OnTime,DEN,6,American Airlines,337,0,0.0,0,0,0,0,0
OnTime,DEN,7,American Airlines,770,0,0.0,0,0,0,0,0
OnTime,DEN,8,American Airlines,806,0,0.0,0,0,0,0,0
OnTime,DEN,9,American Airlines,711,0,0.0,0,0,0,0,0
OnTime,DEN,10,American Airlines,690,0,0.0,0,0,0,0,0
OnTime,DEN,11,American Airlines,574,0,0.0,0,0,0,0,0
OnTime,DEN,12,American Airlines,608,0,0.0,0,0,0,0,0
