RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,4,American Airlines,386,0,0.0,0,0,0,0,0
OnTime,ATL,4,Alaska Airlines,25,0,0.0,0,0,0,0,0
OnTime,ATL,4,Delta Air Lines,17719,0,0.0,0,0,0,0,0
OnTime,ATL,4,ExpressJet Airlines,4190,0,0.0,0,0,0,0,0
OnTime,ATL,4,Frontier Airlines,186,0,0.0,0,0,0,0,0
OnTime,ATL,4,Envoy Air,97,0,0.0,0,0,0,0,0
OnTime,ATL,4,Spirit Airlines,173,0,0.0,0,0,0,0,0
OnTime,ATL,4,SkyWest Airlines,267,0,0.0,0,0,0,0,0
OnTime,ATL,4,United Airlines,250,0,0.0,0,0,0,0,0
OnTime,ATL,4,US Airways,360,0,0.0,0,0,0,0,0
OnTime,ATL,4,Southwest Airlines,2888,0,0.0,0,0,0,0,0
OnTime,DEN,4,American Airlines,348,0,0.0,0,0,0,0,0
OnTime,DEN,4,Alaska Airlines,132,0,0.0,0,0,0,0,0
OnTime,DEN,4,JetBlue Airways,56,0,0.0,0,0,0,0,0
OnTime,DEN,4,Delta Air Lines,553,0,0.0,0,0,0,0,0
OnTime,DEN,4,ExpressJet Airlines,710,0,0.0,0,0,0,0,0
OnTime,DEN,4,Frontier Airlines,1493,0,0.0,0,0,0,0,0
OnTime,DEN,4,Spirit Airlines,257,0,0.0,0,0,0,0,0
OnTime,DEN,4,SkyWest Airlines,3065,0,0.0,0,0,0,0,0
OnTime,DEN,4,United Airlines,2893,0,0.0,0,0,0,0,0
OnTime,DEN,4,US Airways,307,0,0.0,0,0,0,0,0
OnTime,DEN,4,Southwest Airlines,4056,0,0.0,0,0,0,0,0
OnTime,DFW,4,American Airlines,9365,0,0.0,0,0,0,0,0
OnTime,DFW,4,Alaska Airlines,100,0,0.0,0,0,0,0,0
OnTime,DFW,4,JetBlue Airways,40,0,0.0,0,0,0,0,0
OnTime,DFW,4,Delta Air Lines,364,0,0.0,0,0,0,0,0
OnTime,DFW,4,ExpressJet Airlines,1231,0,0.0,0,0,0,0,0
OnTime,DFW,4,Frontier Airlines,86,0,0.0,0,0,0,0,0
OnTime,DFW,4,Envoy Air,3899,0,0.0,0,0,0,0,0
OnTime,DFW,4,Spirit Airlines,571,0,0.0,0,0,0,0,0
OnTime,DFW,4,SkyWest Airlines,361,0,0.0,0,0,0,0,0
OnTime,DFW,4,United Airlines,166,0,0.0,0,0,0,0,0
OnTime,DFW,4,US Airways,417,0,0.0,0,0,0,0,0
OnTime,IAH,4,American Airlines,337,0,0.0,0,0,0,0,0
OnTime,IAH,4,Alaska Airlines,27,0,0.0,0,0,0,0,0
OnTime,IAH,4,Delta Air Lines,247,0,0.0,0,0,0,0,0
OnTime,IAH,4,ExpressJet Airlines,4700,0,0.0,0,0,0,0,0
OnTime,IAH,4,Frontier Airlines,80,0,0.0,0,0,0,0,0
OnTime,IAH,4,Spirit Airlines,303,0,0.0,0,0,0,0,0
OnTime,IAH,4,SkyWest Airlines,1011,0,0.0,0,0,0,0,0
OnTime,IAH,4,United Airlines,3464,0,0.0,0,0,0,0,0
OnTime,IAH,4,US Airways,308,0,0.0,0,0,0,0,0
OnTime,LAS,4,American Airlines,651,0,0.0,0,0,0,0,0
OnTime,LAS,4,Alaska Airlines,352,0,0.0,0,0,0,0,0
OnTime,LAS,4,JetBlue Airways,238,0,0.0,0,0,0,0,0
OnTime,LAS,4,Delta Air Lines,822,0,0.0,0,0,0,0,0
OnTime,LAS,4,Frontier Airlines,230,0,0.0,0,0,0,0,0
OnTime,LAS,4,Hawaiian Airlines,53,0,0.0,0,0,0,0,0
OnTime,LAS,4,Spirit Airlines,588,0,0.0,0,0,0,0,0
OnTime,LAS,4,SkyWest Airlines,249,0,0.0,0,0,0,0,0
OnTime,LAS,4,United Airlines,886,0,0.0,0,0,0,0,0
OnTime,LAS,4,US Airways,431,0,0.0,0,0,0,0,0
OnTime,LAS,4,Virgin America,268,0,0.0,0,0,0,0,0
OnTime,LAS,4,Southwest Airlines,4979,0,0.0,0,0,0,0,0
OnTime,LAX,4,American Airlines,2265,0,0.0,0,0,0,0,0
OnTime,LAX,4,Alaska Airlines,614,0,0.0,0,0,0,0,0
OnTime,LAX,4,JetBlue Airways,270,0,0.0,0,0,0,0,0
OnTime,LAX,4,Delta Air Lines,1680,0,0.0,0,0,0,0,0
OnTime,LAX,4,Frontier Airlines,67,0,0.0,0,0,0,0,0
OnTime,LAX,4,Hawaiian Airlines,84,0,0.0,0,0,0,0,0
