RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,8,American Airlines,829,0,0.0,0,0,0,0,0
OnTime,ATL,8,Alaska Airlines,29,0,0.0,0,0,0,0,0
OnTime,ATL,8,Delta Air Lines,18292,0,0.0,0,0,0,0,0
OnTime,ATL,8,ExpressJet Airlines,4212,0,0.0,0,0,0,0,0
OnTime,ATL,8,Frontier Airlines,372,0,0.0,0,0,0,0,0
OnTime,ATL,8,Envoy Air,123,0,0.0,0,0,0,0,0
OnTime,ATL,8,Spirit Airlines,276,0,0.0,0,0,0,0,0
OnTime,ATL,8,SkyWest Airlines,355,0,0.0,0,0,0,0,0
OnTime,ATL,8,United Airlines,248,0,0.0,0,0,0,0,0
OnTime,ATL,8,Southwest Airlines,2809,0,0.0,0,0,0,0,0
OnTime,DEN,8,American Airlines,806,0,0.0,0,0,0,0,0
OnTime,DEN,8,Alaska Airlines,139,0,0.0,0,0,0,0,0
OnTime,DEN,8,JetBlue Airways,66,0,0.0,0,0,0,0,0
OnTime,DEN,8,Delta Air Lines,585,0,0.0,0,0,0,0,0
OnTime,DEN,8,Frontier Airlines,1650,0,0.0,0,0,0,0,0
OnTime,DEN,8,Spirit Airlines,279,0,0.0,0,0,0,0,0
OnTime,DEN,8,SkyWest Airlines,3687,0,0.0,0,0,0,0,0
OnTime,DEN,8,United Airlines,3649,0,0.0,0,0,0,0,0
OnTime,DEN,8,Southwest Airlines,4301,0,0.0,0,0,0,0,0
OnTime,DFW,8,American Airlines,10614,0,0.0,0,0,0,0,0
OnTime,DFW,8,Alaska Airlines,136,0,0.0,0,0,0,0,0
OnTime,DFW,8,JetBlue Airways,40,0,0.0,0,0,0,0,0
OnTime,DFW,8,Delta Air Lines,469,0,0.0,0,0,0,0,0
OnTime,DFW,8,ExpressJet Airlines,2198,0,0.0,0,0,0,0,0
OnTime,DFW,8,Frontier Airlines,102,0,0.0,0,0,0,0,0
OnTime,DFW,8,Envoy Air,3531,0,0.0,0,0,0,0,0
OnTime,DFW,8,Spirit Airlines,599,0,0.0,0,0,0,0,0
OnTime,DFW,8,SkyWest Airlines,315,0,0.0,0,0,0,0,0
OnTime,DFW,8,United Airlines,292,0,0.0,0,0,0,0,0
OnTime,IAH,8,American Airlines,711,0,0.0,0,0,0,0,0
OnTime,IAH,8,Alaska Airlines,42,0,0.0,0,0,0,0,0
OnTime,IAH,8,Delta Air Lines,286,0,0.0,0,0,0,0,0
OnTime,IAH,8,ExpressJet Airlines,4304,0,0.0,0,0,0,0,0
OnTime,IAH,8,Frontier Airlines,123,0,0.0,0,0,0,0,0
OnTime,IAH,8,Spirit Airlines,276,0,0.0,0,0,0,0,0
OnTime,IAH,8,SkyWest Airlines,1024,0,0.0,0,0,0,0,0
OnTime,IAH,8,United Airlines,3717,0,0.0,0,0,0,0,0
OnTime,LAS,8,American Airlines,1111,0,0.0,0,0,0,0,0
OnTime,LAS,8,Alaska Airlines,286,0,0.0,0,0,0,0,0
OnTime,LAS,8,JetBlue Airways,299,0,0.0,0,0,0,0,0
OnTime,LAS,8,Delta Air Lines,942,0,0.0,0,0,0,0,0
OnTime,LAS,8,Frontier Airlines,364,0,0.0,0,0,0,0,0
OnTime,LAS,8,Hawaiian Airlines,46,0,0.0,0,0,0,0,0
OnTime,LAS,8,Spirit Airlines,567,0,0.0,0,0,0,0,0
OnTime,LAS,8,SkyWest Airlines,120,0,0.0,0,0,0,0,0
OnTime,LAS,8,United Airlines,867,0,0.0,0,0,0,0,0
OnTime,LAS,8,Virgin America,305,0,0.0,0,0,0,0,0
OnTime,LAS,8,Southwest Airlines,4994,0,0.0,0,0,0,0,0
OnTime,LAX,8,American Airlines,2929,0,0.0,0,0,0,0,0
OnTime,LAX,8,Alaska Airlines,653,0,0.0,0,0,0,0,0
OnTime,LAX,8,JetBlue Airways,305,0,0.0,0,0,0,0,0
OnTime,LAX,8,Delta Air Lines,2229,0,0.0,0,0,0,0,0
OnTime,LAX,8,Frontier Airlines,108,0,0.0,0,0,0,0,0
OnTime,LAX,8,Hawaiian Airlines,154,0,0.0,0,0,0,0,0
OnTime,LAX,8,Envoy Air,6,0,0.0,0,0,0,0,0
OnTime,LAX,8,Spirit Airlines,252,0,0.0,0,0,0,0,0
OnTime,LAX,8,SkyWest Airlines,2550,0,0.0,0,0,0,0,0
OnTime,LAX,8,United Airlines,2191,0,0.0,0,0,0,0,0
OnTime,LAX,8,Virgin America,914,0,0.0,0,0,0,0,0
OnTime,LAX,8,Southwest Airlines,2497,0,0.0,0,0,0,0,0
OnTime,MSP,8,American Airlines,603,0,0.0,0,0,0,0,0
OnTime,MSP,8,Alaska Airlines,53,0,0.0,0,0,0,0,0
OnTime,MSP,8,Delta Air Lines,5244,0,0.0,0,0,0,0,0
OnTime,MSP,8,ExpressJet Airlines,462,0,0.0,0,0,0,0,0
OnTime,MSP,8,Frontier Airlines,135,0,0.0,0,0,0,0,0
OnTime,MSP,8,Spirit Airlines,138,0,0.0,0,0,0,0,0
OnTime,MSP,8,SkyWest Airlines,2273,0,0.0,0,0,0,0,0
OnTime,MSP,8,United Airlines,320,0,0.0,0,0,0,0,0
OnTime,MSP,8,Southwest Airlines,625,0,0.0,0,0,0,0,0
OnTime,ORD,8,American Airlines,4207,0,0.0,0,0,0,0,0
OnTime,ORD,8,Alaska Airlines,152,0,0.0,0,0,0,0,0
OnTime,ORD,8,JetBlue Airways,213,0,0.0,0,0,0,0,0
OnTime,ORD,8,Delta Air Lines,555,0,0.0,0,0,0,0,0
OnTime,ORD,8,ExpressJet Airlines,3443,0,0.0,0,0,0,0,0
OnTime,ORD,8,Frontier Airlines,311,0,0.0,0,0,0,0,0
OnTime,ORD,8,Envoy Air,4871,0,0.0,0,0,0,0,0
OnTime,ORD,8,Spirit Airlines,612,0,0.0,0,0,0,0,0
OnTime,ORD,8,SkyWest Airlines,2839,0,0.0,0,0,0,0,0
OnTime,ORD,8,United Airlines,4349,0,0.0,0,0,0,0,0
OnTime,ORD,8,Virgin America,131,0,0.0,0,0,0,0,0
OnTime,PHX,8,American Airlines,4187,0,0.0,0,0,0,0,0
OnTime,PHX,8,Alaska Airlines,152,0,0.0,0,0,0,0,0
OnTime,PHX,8,JetBlue Airways,42,0,0.0,0,0,0,0,0
OnTime,PHX,8,Delta Air Lines,559,0,0.0,0,0,0,0,0
OnTime,PHX,8,ExpressJet Airlines,3,0,0.0,0,0,0,0,0
OnTime,PHX,8,Frontier Airlines,123,0,0.0,0,0,0,0,0
OnTime,PHX,8,Hawaiian Airlines,11,0,0.0,0,0,0,0,0
OnTime,PHX,8,Spirit Airlines,52,0,0.0,0,0,0,0,0
OnTime,PHX,8,SkyWest Airlines,1483,0,0.0,0,0,0,0,0
OnTime,PHX,8,United Airlines,298,0,0.0,0,0,0,0,0
OnTime,PHX,8,Southwest Airlines,3797,0,0.0,0,0,0,0,0
OnTime,SFO,8,American Airlines,1252,0,0.0,0,0,0,0,0
OnTime,SFO,8,Alaska Airlines,420,0,0.0,0,0,0,0,0
OnTime,SFO,8,JetBlue Airways,351,0,0.0,0,0,0,0,0
OnTime,SFO,8,Delta Air Lines,930,0,0.0,0,0,0,0,0
OnTime,SFO,8,Frontier Airlines,156,0,0.0,0,0,0,0,0
