RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,12,American Airlines,761,0,0.0,0,0,0,0,0
OnTime,ATL,12,Alaska Airlines,47,0,0.0,0,0,0,0,0
OnTime,ATL,12,Delta Air Lines,16345,0,0.0,0,0,0,0,0
OnTime,ATL,12,ExpressJet Airlines,4038,0,0.0,0,0,0,0,0
OnTime,ATL,12,Frontier Airlines,316,0,0.0,0,0,0,0,0
OnTime,ATL,12,Spirit Airlines,331,0,0.0,0,0,0,0,0
OnTime,ATL,12,SkyWest Airlines,317,0,0.0,0,0,0,0,0
OnTime,ATL,12,United Airlines,209,0,0.0,0,0,0,0,0
OnTime,ATL,12,Southwest Airlines,2802,0,0.0,0,0,0,0,0
OnTime,DEN,12,American Airlines,608,0,0.0,0,0,0,0,0
OnTime,DEN,12,Alaska Airlines,103,0,0.0,0,0,0,0,0
OnTime,DEN,12,JetBlue Airways,63,0,0.0,0,0,0,0,0
OnTime,DEN,12,Delta Air Lines,500,0,0.0,0,0,0,0,0
OnTime,DEN,12,Frontier Airlines,1404,0,0.0,0,0,0,0,0
OnTime,DEN,12,Spirit Airlines,205,0,0.0,0,0,0,0,0
OnTime,DEN,12,SkyWest Airlines,2826,0,0.0,0,0,0,0,0
OnTime,DEN,12,United Airlines,3501,0,0.0,0,0,0,0,0
OnTime,DEN,12,Southwest Airlines,3783,0,0.0,0,0,0,0,0
OnTime,DFW,12,American Airlines,9438,0,0.0,0,0,0,0,0
OnTime,DFW,12,Alaska Airlines,89,0,0.0,0,0,0,0,0
OnTime,DFW,12,JetBlue Airways,37,0,0.0,0,0,0,0,0
OnTime,DFW,12,Delta Air Lines,348,0,0.0,0,0,0,0,0
OnTime,DFW,12,ExpressJet Airlines,2140,0,0.0,0,0,0,0,0
OnTime,DFW,12,Frontier Airlines,91,0,0.0,0,0,0,0,0
OnTime,DFW,12,Envoy Air,3108,0,0.0,0,0,0,0,0
OnTime,DFW,12,Spirit Airlines,495,0,0.0,0,0,0,0,0
OnTime,DFW,12,SkyWest Airlines,214,0,0.0,0,0,0,0,0
OnTime,DFW,12,United Airlines,249,0,0.0,0,0,0,0,0
OnTime,IAH,12,American Airlines,585,0,0.0,0,0,0,0,0
OnTime,IAH,12,Alaska Airlines,26,0,0.0,0,0,0,0,0
