RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,2,American Airlines,286,0,0.0,0,0,0,0,0
OnTime,ATL,2,Alaska Airlines,26,0,0.0,0,0,0,0,0
OnTime,ATL,2,Delta Air Lines,14004,0,0.0,0,0,0,0,0
OnTime,ATL,2,ExpressJet Airlines,3362,0,0.0,0,0,0,0,0
OnTime,ATL,2,Frontier Airlines,87,0,0.0,0,0,0,0,0
OnTime,ATL,2,Envoy Air,72,0,0.0,0,0,0,0,0
OnTime,ATL,2,Spirit Airlines,154,0,0.0,0,0,0,0,0
OnTime,ATL,2,SkyWest Airlines,238,0,0.0,0,0,0,0,0
OnTime,ATL,2,United Airlines,158,0,0.0,0,0,0,0,0
OnTime,ATL,2,US Airways,376,0,0.0,0,0,0,0,0
OnTime,ATL,2,Southwest Airlines,2615,0,0.0,0,0,0,0,0
OnTime,DEN,2,American Airlines,288,0,0.0,0,0,0,0,0
OnTime,DEN,2,Alaska Airlines,98,0,0.0,0,0,0,0,0
OnTime,DEN,2,JetBlue Airways,35,0,0.0,0,0,0,0,0
OnTime,DEN,2,Delta Air Lines,386,0,0.0,0,0,0,0,0
OnTime,DEN,2,ExpressJet Airlines,651,0,0.0,0,0,0,0,0
OnTime,DEN,2,Frontier Airlines,1091,0,0.0,0,0,0,0,0
OnTime,DEN,2,Spirit Airlines,154,0,0.0,0,0,0,0,0
OnTime,DEN,2,SkyWest Airlines,2176,0,0.0,0,0,0,0,0
OnTime,DEN,2,United Airlines,2512,0,0.0,0,0,0,0,0
OnTime,DEN,2,US Airways,250,0,0.0,0,0,0,0,0
OnTime,DEN,2,Southwest Airlines,3112,0,0.0,0,0,0,0,0
OnTime,DFW,2,American Airlines,8011,0,0.0,0,0,0,0,0
OnTime,DFW,2,Alaska Airlines,87,0,0.0,0,0,0,0,0
OnTime,DFW,2,JetBlue Airways,30,0,0.0,0,0,0,0,0
OnTime,DFW,2,Delta Air Lines,310,0,0.0,0,0,0,0,0
OnTime,DFW,2,ExpressJet Airlines,780,0,0.0,0,0,0,0,0
OnTime,DFW,2,Frontier Airlines,47,0,0.0,0,0,0,0,0
OnTime,DFW,2,Envoy Air,3611,0,0.0,0,0,0,0,0
OnTime,DFW,2,Spirit Airlines,485,0,0.0,0,0,0,0,0
OnTime,DFW,2,SkyWest Airlines,193,0,0.0,0,0,0,0,0
OnTime,DFW,2,United Airlines,200,0,0.0,0,0,0,0,0
OnTime,DFW,2,US Airways,364,0,0.0,0,0,0,0,0
OnTime,IAH,2,American Airlines,321,0,0.0,0,0,0,0,0
OnTime,IAH,2,Alaska Airlines,26,0,0.0,0,0,0,0,0
OnTime,IAH,2,Delta Air Lines,171,0,0.0,0,0,0,0,0
OnTime,IAH,2,ExpressJet Airlines,4348,0,0.0,0,0,0,0,0
OnTime,IAH,2,Frontier Airlines,82,0,0.0,0,0,0,0,0
OnTime,IAH,2,Spirit Airlines,233,0,0.0,0,0,0,0,0
OnTime,IAH,2,SkyWest Airlines,698,0,0.0,0,0,0,0,0
OnTime,IAH,2,United Airlines,3506,0,0.0,0,0,0,0,0
OnTime,IAH,2,US Airways,313,0,0.0,0,0,0,0,0
OnTime,LAS,2,American Airlines,627,0,0.0,0,0,0,0,0
OnTime,LAS,2,Alaska Airlines,319,0,0.0,0,0,0,0,0
OnTime,LAS,2,JetBlue Airways,198,0,0.0,0,0,0,0,0
OnTime,LAS,2,Delta Air Lines,660,0,0.0,0,0,0,0,0
OnTime,LAS,2,Frontier Airlines,128,0,0.0,0,0,0,0,0
OnTime,LAS,2,Hawaiian Airlines,45,0,0.0,0,0,0,0,0
OnTime,LAS,2,Spirit Airlines,494,0,0.0,0,0,0,0,0
OnTime,LAS,2,SkyWest Airlines,214,0,0.0,0,0,0,0,0
