RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,1,American Airlines,318,0,0.0,0,0,0,0,0
OnTime,ATL,1,Alaska Airlines,25,0,0.0,0,0,0,0,0
OnTime,ATL,1,Delta Air Lines,16353,0,0.0,0,0,0,0,0
OnTime,ATL,1,ExpressJet Airlines,4129,0,0.0,0,0,0,0,0
OnTime,ATL,1,Frontier Airlines,112,0,0.0,0,0,0,0,0
OnTime,ATL,1,Envoy Air,73,0,0.0,0,0,0,0,0
OnTime,ATL,1,Spirit Airlines,177,0,0.0,0,0,0,0,0
OnTime,ATL,1,SkyWest Airlines,199,0,0.0,0,0,0,0,0
OnTime,ATL,1,United Airlines,164,0,0.0,0,0,0,0,0
OnTime,ATL,1,US Airways,429,0,0.0,0,0,0,0,0
OnTime,ATL,1,Southwest Airlines,2867,0,0.0,0,0,0,0,0
OnTime,DEN,1,American Airlines,324,0,0.0,0,0,0,0,0
OnTime,DEN,1,Alaska Airlines,106,0,0.0,0,0,0,0,0
OnTime,DEN,1,JetBlue Airways,51,0,0.0,0,0,0,0,0
OnTime,DEN,1,Delta Air Lines,451,0,0.0,0,0,0,0,0
OnTime,DEN,1,ExpressJet Airlines,773,0,0.0,0,0,0,0,0
OnTime,DEN,1,Frontier Airlines,1382,0,0.0,0,0,0,0,0
OnTime,DEN,1,Spirit Airlines,169,0,0.0,0,0,0,0,0
OnTime,DEN,1,SkyWest Airlines,2203,0,0.0,0,0,0,0,0
OnTime,DEN,1,United Airlines,2604,0,0.0,0,0,0,0,0
OnTime,DEN,1,US Airways,295,0,0.0,0,0,0,0,0
OnTime,DEN,1,Southwest Airlines,3460,0,0.0,0,0,0,0,0
OnTime,DFW,1,American Airlines,9408,0,0.0,0,0,0,0,0
OnTime,DFW,1,Alaska Airlines,96,0,0.0,0,0,0,0,0
OnTime,DFW,1,JetBlue Airways,33,0,0.0,0,0,0,0,0
OnTime,DFW,1,Delta Air Lines,362,0,0.0,0,0,0,0,0
OnTime,DFW,1,ExpressJet Airlines,956,0,0.0,0,0,0,0,0
OnTime,DFW,1,Frontier Airlines,107,0,0.0,0,0,0,0,0
OnTime,DFW,1,Envoy Air,4445,0,0.0,0,0,0,0,0
OnTime,DFW,1,Spirit Airlines,584,0,0.0,0,0,0,0,0
OnTime,DFW,1,SkyWest Airlines,272,0,0.0,0,0,0,0,0
OnTime,DFW,1,United Airlines,247,0,0.0,0,0,0,0,0
OnTime,DFW,1,US Airways,443,0,0.0,0,0,0,0,0
OnTime,IAH,1,American Airlines,372,0,0.0,0,0,0,0,0
OnTime,IAH,1,Alaska Airlines,27,0,0.0,0,0,0,0,0
OnTime,IAH,1,Delta Air Lines,197,0,0.0,0,0,0,0,0
OnTime,IAH,1,ExpressJet Airlines,4667,0,0.0,0,0,0,0,0
OnTime,IAH,1,Frontier Airlines,90,0,0.0,0,0,0,0,0
OnTime,IAH,1,Spirit Airlines,250,0,0.0,0,0,0,0,0
OnTime,IAH,1,SkyWest Airlines,802,0,0.0,0,0,0,0,0
OnTime,IAH,1,United Airlines,3755,0,0.0,0,0,0,0,0
OnTime,IAH,1,US Airways,354,0,0.0,0,0,0,0,0
OnTime,LAS,1,American Airlines,702,0,0.0,0,0,0,0,0
OnTime,LAS,1,Alaska Airlines,336,0,0.0,0,0,0,0,0
OnTime,LAS,1,JetBlue Airways,248,0,0.0,0,0,0,0,0
OnTime,LAS,1,Delta Air Lines,719,0,0.0,0,0,0,0,0
OnTime,LAS,1,Frontier Airlines,163,0,0.0,0,0,0,0,0
OnTime,LAS,1,Hawaiian Airlines,55,0,0.0,0,0,0,0,0
OnTime,LAS,1,Spirit Airlines,592,0,0.0,0,0,0,0,0
OnTime,LAS,1,SkyWest Airlines,200,0,0.0,0,0,0,0,0
OnTime,LAS,1,United Airlines,863,0,0.0,0,0,0,0,0
OnTime,LAS,1,US Airways,430,0,0.0,0,0,0,0,0
OnTime,LAS,1,Virgin America,283,0,0.0,0,0,0,0,0
