RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,7,American Airlines,856,0,0.0,0,0,0,0,0
OnTime,ATL,7,Alaska Airlines,28,0,0.0,0,0,0,0,0
OnTime,ATL,7,Delta Air Lines,17916,0,0.0,0,0,0,0,0
OnTime,ATL,7,ExpressJet Airlines,4227,0,0.0,0,0,0,0,0
OnTime,ATL,7,Frontier Airlines,319,0,0.0,0,0,0,0,0
OnTime,ATL,7,Envoy Air,110,0,0.0,0,0,0,0,0
OnTime,ATL,7,Spirit Airlines,256,0,0.0,0,0,0,0,0
OnTime,ATL,7,SkyWest Airlines,303,0,0.0,0,0,0,0,0
OnTime,ATL,7,United Airlines,217,0,0.0,0,0,0,0,0
OnTime,ATL,7,Southwest Airlines,2596,0,0.0,0,0,0,0,0
OnTime,DEN,7,American Airlines,770,0,0.0,0,0,0,0,0
OnTime,DEN,7,Alaska Airlines,167,0,0.0,0,0,0,0,0
OnTime,DEN,7,JetBlue Airways,66,0,0.0,0,0,0,0,0
OnTime,DEN,7,Delta Air Lines,595,0,0.0,0,0,0,0,0
OnTime,DEN,7,ExpressJet Airlines,9,0,0.0,0,0,0,0,0
OnTime,DEN,7,Frontier Airlines,1488,0,0.0,0,0,0,0,0
OnTime,DEN,7,Spirit Airlines,304,0,0.0,0,0,0,0,0
OnTime,DEN,7,SkyWest Airlines,3509,0,0.0,0,0,0,0,0
OnTime,DEN,7,United Airlines,3347,0,0.0,0,0,0,0,0
OnTime,DEN,7,Southwest Airlines,4076,0,0.0,0,0,0,0,0
OnTime,DFW,7,American Airlines,10829,0,0.0,0,0,0,0,0
OnTime,DFW,7,Alaska Airlines,140,0,0.0,0,0,0,0,0
OnTime,DFW,7,JetBlue Airways,49,0,0.0,0,0,0,0,0
OnTime,DFW,7,Delta Air Lines,475,0,0.0,0,0,0,0,0
OnTime,DFW,7,ExpressJet Airlines,2186,0,0.0,0,0,0,0,0
OnTime,DFW,7,Frontier Airlines,90,0,0.0,0,0,0,0,0
OnTime,DFW,7,Envoy Air,3541,0,0.0,0,0,0,0,0
OnTime,DFW,7,Spirit Airlines,614,0,0.0,0,0,0,0,0
OnTime,DFW,7,SkyWest Airlines,266,0,0.0,0,0,0,0,0
OnTime,DFW,7,United Airlines,309,0,0.0,0,0,0,0,0
OnTime,IAH,7,American Airlines,726,0,0.0,0,0,0,0,0
OnTime,IAH,7,Alaska Airlines,53,0,0.0,0,0,0,0,0
OnTime,IAH,7,Delta Air Lines,296,0,0.0,0,0,0,0,0
OnTime,IAH,7,ExpressJet Airlines,4724,0,0.0,0,0,0,0,0
OnTime,IAH,7,Frontier Airlines,108,0,0.0,0,0,0,0,0
OnTime,IAH,7,Spirit Airlines,320,0,0.0,0,0,0,0,0
OnTime,IAH,7,SkyWest Airlines,1080,0,0.0,0,0,0,0,0
OnTime,IAH,7,United Airlines,3641,0,0.0,0,0,0,0,0
OnTime,LAS,7,American Airlines,1117,0,0.0,0,0,0,0,0
OnTime,LAS,7,Alaska Airlines,326,0,0.0,0,0,0,0,0
OnTime,LAS,7,JetBlue Airways,312,0,0.0,0,0,0,0,0
OnTime,LAS,7,Delta Air Lines,923,0,0.0,0,0,0,0,0
OnTime,LAS,7,Frontier Airlines,301,0,0.0,0,0,0,0,0
OnTime,LAS,7,Hawaiian Airlines,68,0,0.0,0,0,0,0,0
OnTime,LAS,7,Spirit Airlines,627,0,0.0,0,0,0,0,0
OnTime,LAS,7,SkyWest Airlines,158,0,0.0,0,0,0,0,0
OnTime,LAS,7,United Airlines,749,0,0.0,0,0,0,0,0
OnTime,LAS,7,Virgin America,243,0,0.0,0,0,0,0,0
OnTime,LAS,7,Southwest Airlines,4621,0,0.0,0,0,0,0,0
OnTime,LAX,7,American Airlines,2875,0,0.0,0,0,0,0,0
OnTime,LAX,7,Alaska Airlines,673,0,0.0,0,0,0,0,0
OnTime,LAX,7,JetBlue Airways,301,0,0.0,0,0,0,0,0
OnTime,LAX,7,Delta Air Lines,2096,0,0.0,0,0,0,0,0
OnTime,LAX,7,Frontier Airlines,105,0,0.0,0,0,0,0,0
OnTime,LAX,7,Hawaiian Airlines,167,0,0.0,0,0,0,0,0
OnTime,LAX,7,Envoy Air,20,0,0.0,0,0,0,0,0
OnTime,LAX,7,Spirit Airlines,271,0,0.0,0,0,0,0,0
OnTime,LAX,7,SkyWest Airlines,2313,0,0.0,0,0,0,0,0
OnTime,LAX,7,United Airlines,2062,0,0.0,0,0,0,0,0
OnTime,LAX,7,Virgin America,794,0,0.0,0,0,0,0,0
OnTime,LAX,7,Southwest Airlines,2199,0,0.0,0,0,0,0,0
OnTime,MSP,7,American Airlines,590,0,0.0,0,0,0,0,0
OnTime,MSP,7,Alaska Airlines,54,0,0.0,0,0,0,0,0
OnTime,MSP,7,Delta Air Lines,5168,0,0.0,0,0,0,0,0
OnTime,MSP,7,ExpressJet Airlines,487,0,0.0,0,0,0,0,0
OnTime,MSP,7,Frontier Airlines,123,0,0.0,0,0,0,0,0
OnTime,MSP,7,Spirit Airlines,159,0,0.0,0,0,0,0,0
OnTime,MSP,7,SkyWest Airlines,2277,0,0.0,0,0,0,0,0
OnTime,MSP,7,United Airlines,293,0,0.0,0,0,0,0,0
OnTime,MSP,7,Southwest Airlines,567,0,0.0,0,0,0,0,0
OnTime,ORD,7,American Airlines,3963,0,0.0,0,0,0,0,0
OnTime,ORD,7,Alaska Airlines,168,0,0.0,0,0,0,0,0
OnTime,ORD,7,JetBlue Airways,215,0,0.0,0,0,0,0,0
OnTime,ORD,7,Delta Air Lines,528,0,0.0,0,0,0,0,0
