RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,3,American Airlines,388,0,0.0,0,0,0,0,0
OnTime,ATL,3,Alaska Airlines,31,0,0.0,0,0,0,0,0
OnTime,ATL,3,Delta Air Lines,18231,0,0.0,0,0,0,0,0
OnTime,ATL,3,ExpressJet Airlines,4408,0,0.0,0,0,0,0,0
OnTime,ATL,3,Frontier Airlines,157,0,0.0,0,0,0,0,0
OnTime,ATL,3,Envoy Air,63,0,0.0,0,0,0,0,0
OnTime,ATL,3,Spirit Airlines,189,0,0.0,0,0,0,0,0
OnTime,ATL,3,SkyWest Airlines,278,0,0.0,0,0,0,0,0
OnTime,ATL,3,United Airlines,244,0,0.0,0,0,0,0,0
OnTime,ATL,3,US Airways,425,0,0.0,0,0,0,0,0
OnTime,ATL,3,Southwest Airlines,2950,0,0.0,0,0,0,0,0
OnTime,DEN,3,American Airlines,365,0,0.0,0,0,0,0,0
OnTime,DEN,3,Alaska Airlines,140,0,0.0,0,0,0,0,0
OnTime,DEN,3,JetBlue Airways,60,0,0.0,0,0,0,0,0
OnTime,DEN,3,Delta Air Lines,591,0,0.0,0,0,0,0,0
OnTime,DEN,3,ExpressJet Airlines,1118,0,0.0,0,0,0,0,0
OnTime,DEN,3,Frontier Airlines,1416,0,0.0,0,0,0,0,0
OnTime,DEN,3,Spirit Airlines,219,0,0.0,0,0,0,0,0
OnTime,DEN,3,SkyWest Airlines,3207,0,0.0,0,0,0,0,0
OnTime,DEN,3,United Airlines,3341,0,0.0,0,0,0,0,0
OnTime,DEN,3,US Airways,342,0,0.0,0,0,0,0,0
OnTime,DEN,3,Southwest Airlines,4260,0,0.0,0,0,0,0,0
OnTime,DFW,3,American Airlines,9198,0,0.0,0,0,0,0,0
OnTime,DFW,3,Alaska Airlines,115,0,0.0,0,0,0,0,0
