RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,11,American Airlines,783,0,0.0,0,0,0,0,0
OnTime,ATL,11,Alaska Airlines,53,0,0.0,0,0,0,0,0
OnTime,ATL,11,Delta Air Lines,18261,0,0.0,0,0,0,0,0
OnTime,ATL,11,ExpressJet Airlines,3514,0,0.0,0,0,0,0,0
OnTime,ATL,11,Frontier Airlines,275,0,0.0,0,0,0,0,0
OnTime,ATL,11,Envoy Air,14,0,0.0,0,0,0,0,0
OnTime,ATL,11,Spirit Airlines,408,0,0.0,0,0,0,0,0
OnTime,ATL,11,SkyWest Airlines,382,0,0.0,0,0,0,0,0
OnTime,ATL,11,United Airlines,259,0,0.0,0,0,0,0,0
OnTime,ATL,11,Southwest Airlines,2948,0,0.0,0,0,0,0,0
OnTime,DEN,11,American Airlines,574,0,0.0,0,0,0,0,0
OnTime,DEN,11,Alaska Airlines,95,0,0.0,0,0,0,0,0
OnTime,DEN,11,JetBlue Airways,60,0,0.0,0,0,0,0,0
OnTime,DEN,11,Delta Air Lines,502,0,0.0,0,0,0,0,0
OnTime,DEN,11,Frontier Airlines,1383,0,0.0,0,0,0,0,0
OnTime,DEN,11,Spirit Airlines,218,0,0.0,0,0,0,0,0
OnTime,DEN,11,SkyWest Airlines,2839,0,0.0,0,0,0,0,0
OnTime,DEN,11,United Airlines,3566,0,0.0,0,0,0,0,0
OnTime,DEN,11,Southwest Airlines,3994,0,0.0,0,0,0,0,0
OnTime,DFW,11,American Airlines,9088,0,0.0,0,0,0,0,0
OnTime,DFW,11,Alaska Airlines,75,0,0.0,0,0,0,0,0
OnTime,DFW,11,JetBlue Airways,40,0,0.0,0,0,0,0,0
OnTime,DFW,11,Delta Air Lines,354,0,0.0,0,0,0,0,0
OnTime,DFW,11,ExpressJet Airlines,1906,0,0.0,0,0,0,0,0
OnTime,DFW,11,Frontier Airlines,87,0,0.0,0,0,0,0,0
OnTime,DFW,11,Envoy Air,2931,0,0.0,0,0,0,0,0
OnTime,DFW,11,Spirit Airlines,575,0,0.0,0,0,0,0,0
OnTime,DFW,11,SkyWest Airlines,265,0,0.0,0,0,0,0,0
OnTime,DFW,11,United Airlines,260,0,0.0,0,0,0,0,0
OnTime,IAH,11,American Airlines,638,0,0.0,0,0,0,0,0
OnTime,IAH,11,Alaska Airlines,27,0,0.0,0,0,0,0,0
OnTime,IAH,11,Delta Air Lines,205,0,0.0,0,0,0,0,0
OnTime,IAH,11,ExpressJet Airlines,3752,0,0.0,0,0,0,0,0
OnTime,IAH,11,Frontier Airlines,119,0,0.0,0,0,0,0,0
OnTime,IAH,11,Spirit Airlines,320,0,0.0,0,0,0,0,0
OnTime,IAH,11,SkyWest Airlines,1411,0,0.0,0,0,0,0,0
OnTime,IAH,11,United Airlines,4002,0,0.0,0,0,0,0,0
OnTime,LAS,11,American Airlines,1069,0,0.0,0,0,0,0,0
OnTime,LAS,11,Alaska Airlines,300,0,0.0,0,0,0,0,0
OnTime,LAS,11,JetBlue Airways,273,0,0.0,0,0,0,0,0
OnTime,LAS,11,Delta Air Lines,908,0,0.0,0,0,0,0,0
OnTime,LAS,11,Frontier Airlines,409,0,0.0,0,0,0,0,0
OnTime,LAS,11,Hawaiian Airlines,59,0,0.0,0,0,0,0,0
OnTime,LAS,11,Spirit Airlines,690,0,0.0,0,0,0,0,0
OnTime,LAS,11,SkyWest Airlines,149,0,0.0,0,0,0,0,0
OnTime,LAS,11,United Airlines,857,0,0.0,0,0,0,0,0
OnTime,LAS,11,Virgin America,246,0,0.0,0,0,0,0,0
OnTime,LAS,11,Southwest Airlines,4881,0,0.0,0,0,0,0,0
OnTime,LAX,11,American Airlines,2808,0,0.0,0,0,0,0,0
OnTime,LAX,11,Alaska Airlines,718,0,0.0,0,0,0,0,0
OnTime,LAX,11,JetBlue Airways,307,0,0.0,0,0,0,0,0
OnTime,LAX,11,Delta Air Lines,2214,0,0.0,0,0,0,0,0
OnTime,LAX,11,Frontier Airlines,118,0,0.0,0,0,0,0,0
OnTime,LAX,11,Hawaiian Airlines,112,0,0.0,0,0,0,0,0
OnTime,LAX,11,Spirit Airlines,366,0,0.0,0,0,0,0,0
OnTime,LAX,11,SkyWest Airlines,1701,0,0.0,0,0,0,0,0
OnTime,LAX,11,United Airlines,1979,0,0.0,0,0,0,0,0
OnTime,LAX,11,Virgin America,937,0,0.0,0,0,0,0,0
