RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,10,American Airlines,868,0,0.0,0,0,0,0,0
OnTime,ATL,10,Alaska Airlines,52,0,0.0,0,0,0,0,0
OnTime,ATL,10,Delta Air Lines,19652,0,0.0,0,0,0,0,0
OnTime,ATL,10,ExpressJet Airlines,4239,0,0.0,0,0,0,0,0
OnTime,ATL,10,Frontier Airlines,441,0,0.0,0,0,0,0,0
OnTime,ATL,10,Envoy Air,30,0,0.0,0,0,0,0,0
OnTime,ATL,10,Spirit Airlines,412,0,0.0,0,0,0,0,0
OnTime,ATL,10,SkyWest Airlines,339,0,0.0,0,0,0,0,0
OnTime,ATL,10,United Airlines,341,0,0.0,0,0,0,0,0
OnTime,ATL,10,Southwest Airlines,3189,0,0.0,0,0,0,0,0
OnTime,DEN,10,American Airlines,690,0,0.0,0,0,0,0,0
OnTime,DEN,10,Alaska Airlines,115,0,0.0,0,0,0,0,0
OnTime,DEN,10,JetBlue Airways,72,0,0.0,0,0,0,0,0
OnTime,DEN,10,Delta Air Lines,675,0,0.0,0,0,0,0,0
OnTime,DEN,10,Frontier Airlines,1839,0,0.0,0,0,0,0,0
OnTime,DEN,10,Spirit Airlines,259,0,0.0,0,0,0,0,0
OnTime,DEN,10,SkyWest Airlines,3425,0,0.0,0,0,0,0,0
OnTime,DEN,10,United Airlines,4129,0,0.0,0,0,0,0,0
OnTime,DEN,10,Southwest Airlines,4613,0,0.0,0,0,0,0,0
OnTime,DFW,10,American Airlines,10424,0,0.0,0,0,0,0,0
OnTime,DFW,10,Alaska Airlines,117,0,0.0,0,0,0,0,0
OnTime,DFW,10,JetBlue Airways,46,0,0.0,0,0,0,0,0
OnTime,DFW,10,Delta Air Lines,426,0,0.0,0,0,0,0,0
OnTime,DFW,10,ExpressJet Airlines,2136,0,0.0,0,0,0,0,0
OnTime,DFW,10,Frontier Airlines,119,0,0.0,0,0,0,0,0
OnTime,DFW,10,Envoy Air,3305,0,0.0,0,0,0,0,0
OnTime,DFW,10,Spirit Airlines,653,0,0.0,0,0,0,0,0
OnTime,DFW,10,SkyWest Airlines,314,0,0.0,0,0,0,0,0
OnTime,DFW,10,United Airlines,286,0,0.0,0,0,0,0,0
OnTime,IAH,10,American Airlines,695,0,0.0,0,0,0,0,0
OnTime,IAH,10,Alaska Airlines,31,0,0.0,0,0,0,0,0
OnTime,IAH,10,Delta Air Lines,205,0,0.0,0,0,0,0,0
OnTime,IAH,10,ExpressJet Airlines,4031,0,0.0,0,0,0,0,0
OnTime,IAH,10,Frontier Airlines,126,0,0.0,0,0,0,0,0
OnTime,IAH,10,Spirit Airlines,410,0,0.0,0,0,0,0,0
OnTime,IAH,10,SkyWest Airlines,1295,0,0.0,0,0,0,0,0
OnTime,IAH,10,United Airlines,4320,0,0.0,0,0,0,0,0
OnTime,LAS,10,American Airlines,1111,0,0.0,0,0,0,0,0
OnTime,LAS,10,Alaska Airlines,283,0,0.0,0,0,0,0,0
OnTime,LAS,10,JetBlue Airways,327,0,0.0,0,0,0,0,0
OnTime,LAS,10,Delta Air Lines,971,0,0.0,0,0,0,0,0
OnTime,LAS,10,Frontier Airlines,387,0,0.0,0,0,0,0,0
OnTime,LAS,10,Hawaiian Airlines,58,0,0.0,0,0,0,0,0
OnTime,LAS,10,Spirit Airlines,744,0,0.0,0,0,0,0,0
OnTime,LAS,10,SkyWest Airlines,176,0,0.0,0,0,0,0,0
OnTime,LAS,10,United Airlines,957,0,0.0,0,0,0,0,0
OnTime,LAS,10,Virgin America,284,0,0.0,0,0,0,0,0
OnTime,LAS,10,Southwest Airlines,5374,0,0.0,0,0,0,0,0
OnTime,LAX,10,American Airlines,2837,0,0.0,0,0,0,0,0
OnTime,LAX,10,Alaska Airlines,843,0,0.0,0,0,0,0,0
OnTime,LAX,10,JetBlue Airways,319,0,0.0,0,0,0,0,0
OnTime,LAX,10,Delta Air Lines,2298,0,0.0,0,0,0,0,0
OnTime,LAX,10,Frontier Airlines,121,0,0.0,0,0,0,0,0
OnTime,LAX,10,Hawaiian Airlines,106,0,0.0,0,0,0,0,0
OnTime,LAX,10,Spirit Airlines,366,0,0.0,0,0,0,0,0
OnTime,LAX,10,SkyWest Airlines,2159,0,0.0,0,0,0,0,0
OnTime,LAX,10,United Airlines,2271,0,0.0,0,0,0,0,0
OnTime,LAX,10,Virgin America,917,0,0.0,0,0,0,0,0
OnTime,LAX,10,Southwest Airlines,2905,0,0.0,0,0,0,0,0
OnTime,MSP,10,American Airlines,590,0,0.0,0,0,0,0,0
OnTime,MSP,10,Alaska Airlines,51,0,0.0,0,0,0,0,0
OnTime,MSP,10,Delta Air Lines,5042,0,0.0,0,0,0,0,0
OnTime,MSP,10,ExpressJet Airlines,278,0,0.0,0,0,0,0,0
OnTime,MSP,10,Frontier Airlines,153,0,0.0,0,0,0,0,0
OnTime,MSP,10,Envoy Air,3,0,0.0,0,0,0,0,0
OnTime,MSP,10,Spirit Airlines,222,0,0.0,0,0,0,0,0
OnTime,MSP,10,SkyWest Airlines,2156,0,0.0,0,0,0,0,0
OnTime,MSP,10,United Airlines,321,0,0.0,0,0,0,0,0
OnTime,MSP,10,Southwest Airlines,672,0,0.0,0,0,0,0,0
OnTime,ORD,10,American Airlines,4473,0,0.0,0,0,0,0,0
OnTime,ORD,10,Alaska Airlines,160,0,0.0,0,0,0,0,0
OnTime,ORD,10,JetBlue Airways,155,0,0.0,0,0,0,0,0
OnTime,ORD,10,Delta Air Lines,632,0,0.0,0,0,0,0,0
OnTime,ORD,10,ExpressJet Airlines,3261,0,0.0,0,0,0,0,0
OnTime,ORD,10,Frontier Airlines,361,0,0.0,0,0,0,0,0
OnTime,ORD,10,Envoy Air,5586,0,0.0,0,0,0,0,0
OnTime,ORD,10,Spirit Airlines,759,0,0.0,0,0,0,0,0
OnTime,ORD,10,SkyWest Airlines,3116,0,0.0,0,0,0,0,0
OnTime,ORD,10,United Airlines,5280,0,0.0,0,0,0,0,0
OnTime,ORD,10,Virgin America,133,0,0.0,0,0,0,0,0
OnTime,PHX,10,American Airlines,4309,0,0.0,0,0,0,0,0
OnTime,PHX,10,Alaska Airlines,157,0,0.0,0,0,0,0,0
OnTime,PHX,10,JetBlue Airways,49,0,0.0,0,0,0,0,0
OnTime,PHX,10,Delta Air Lines,561,0,0.0,0,0,0,0,0
OnTime,PHX,10,Frontier Airlines,118,0,0.0,0,0,0,0,0
OnTime,PHX,10,Hawaiian Airlines,20,0,0.0,0,0,0,0,0
OnTime,PHX,10,Spirit Airlines,43,0,0.0,0,0,0,0,0
OnTime,PHX,10,SkyWest Airlines,1191,0,0.0,0,0,0,0,0
OnTime,PHX,10,United Airlines,515,0,0.0,0,0,0,0,0
OnTime,PHX,10,Southwest Airlines,4157,0,0.0,0,0,0,0,0
OnTime,SFO,10,American Airlines,1201,0,0.0,0,0,0,0,0
OnTime,SFO,10,Alaska Airlines,389,0,0.0,0,0,0,0,0
OnTime,SFO,10,JetBlue Airways,373,0,0.0,0,0,0,0,0
OnTime,SFO,10,Delta Air Lines,887,0,0.0,0,0,0,0,0
OnTime,SFO,10,Frontier Airlines,154,0,0.0,0,0,0,0,0
OnTime,SFO,10,Hawaiian Airlines,44,0,0.0,0,0,0,0,0
OnTime,SFO,10,SkyWest Airlines,2595,0,0.0,0,0,0,0,0
OnTime,SFO,10,United Airlines,3810,0,0.0,0,0,0,0,0
OnTime,SFO,10,Virgin America,1272,0,0.0,0,0,0,0,0
OnTime,SFO,10,Southwest Airlines,1130,0,0.0,0,0,0,0,0
Delayed,ATL,10,American Airlines,97,5305.0,0.0,1869.0,238.0,1433.0,0.0,1765.0
Delayed,ATL,10,Alaska Airlines,10,272.0,0.0,41.0,28.0,81.0,0.0,122.0
Delayed,ATL,10,Delta Air Lines,1295,58274.0,0.0,34988.0,661.0,14857.0,64.0,7704.0
Delayed,ATL,10,ExpressJet Airlines,783,39406.0,0.0,25158.0,0.0,3959.0,0.0,10289.0
Delayed,ATL,10,Frontier Airlines,90,6176.0,0.0,2435.0,0.0,2193.0,0.0,1548.0
Delayed,ATL,10,Envoy Air,1,113.0,0.0,8.0,0.0,0.0,0.0,105.0
Delayed,ATL,10,Spirit Airlines,219,12405.0,0.0,1233.0,0.0,10344.0,89.0,739.0
Delayed,ATL,10,SkyWest Airlines,35,2151.0,0.0,529.0,0.0,231.0,0.0,1391.0
Delayed,ATL,10,United Airlines,32,1991.0,0.0,304.0,0.0,1011.0,0.0,676.0
Delayed,ATL,10,Southwest Airlines,384,17154.0,0.0,7549.0,1052.0,2899.0,40.0,5614.0
Delayed,DEN,10,American Airlines,111,7649.0,0.0,3535.0,7.0,1582.0,0.0,2525.0
Delayed,DEN,10,Alaska Airlines,12,636.0,0.0,30.0,12.0,144.0,0.0,450.0
Delayed,DEN,10,JetBlue Airways,15,638.0,0.0,109.0,0.0,99.0,0.0,430.0
Delayed,DEN,10,Delta Air Lines,40,3608.0,0.0,2666.0,0.0,459.0,0.0,483.0
Delayed,DEN,10,Frontier Airlines,239,10607.0,0.0,3714.0,15.0,3434.0,0.0,3444.0
Delayed,DEN,10,Spirit Airlines,55,4289.0,0.0,532.0,0.0,3474.0,0.0,283.0
Delayed,DEN,10,SkyWest Airlines,582,25570.0,0.0,10249.0,475.0,3472.0,28.0,11346.0
Delayed,DEN,10,United Airlines,576,32613.0,0.0,10505.0,169.0,5460.0,0.0,16479.0
Delayed,DEN,10,Southwest Airlines,630,26957.0,0.0,9254.0,1141.0,3980.0,0.0,12582.0
Delayed,DFW,10,American Airlines,1620,115384.0,0.0,37434.0,19991.0,18800.0,69.0,39090.0
Delayed,DFW,10,Alaska Airlines,17,840.0,0.0,68.0,33.0,445.0,0.0,294.0
Delayed,DFW,10,JetBlue Airways,11,790.0,0.0,466.0,32.0,68.0,0.0,224.0
Delayed,DFW,10,Delta Air Lines,39,3514.0,0.0,1414.0,171.0,635.0,0.0,1294.0
Delayed,DFW,10,ExpressJet Airlines,379,24456.0,0.0,14165.0,0.0,3076.0,0.0,7215.0
Delayed,DFW,10,Frontier Airlines,23,1208.0,0.0,189.0,2.0,487.0,0.0,530.0
Delayed,DFW,10,Envoy Air,475,25743.0,0.0,7195.0,6297.0,5838.0,21.0,6392.0
Delayed,DFW,10,Spirit Airlines,104,5447.0,0.0,78.0,100.0,5108.0,0.0,161.0
Delayed,DFW,10,SkyWest Airlines,50,4597.0,0.0,2084.0,446.0,606.0,0.0,1461.0
Delayed,DFW,10,United Airlines,42,3872.0,0.0,805.0,473.0,1439.0,0.0,1155.0
Delayed,IAH,10,American Airlines,118,7294.0,0.0,2594.0,522.0,1383.0,0.0,2795.0
Delayed,IAH,10,Delta Air Lines,16,646.0,0.0,176.0,0.0,104.0,0.0,366.0
Delayed,IAH,10,ExpressJet Airlines,639,33464.0,0.0,12301.0,1003.0,8610.0,0.0,11550.0
Delayed,IAH,10,Frontier Airlines,23,1389.0,0.0,464.0,0.0,470.0,0.0,455.0
Delayed,IAH,10,Spirit Airlines,158,9330.0,0.0,611.0,0.0,7752.0,0.0,967.0
Delayed,IAH,10,SkyWest Airlines,317,16298.0,0.0,7073.0,627.0,2710.0,135.0,5753.0
Delayed,IAH,10,United Airlines,707,46945.0,0.0,19163.0,1131.0,8794.0,0.0,17857.0
Delayed,LAS,10,American Airlines,173,12525.0,0.0,4118.0,483.0,2684.0,38.0,5202.0
Delayed,LAS,10,Alaska Airlines,44,2418.0,0.0,320.0,0.0,929.0,0.0,1169.0
Delayed,LAS,10,JetBlue Airways,90,5476.0,0.0,1421.0,143.0,1474.0,0.0,2438.0
Delayed,LAS,10,Delta Air Lines,116,8233.0,0.0,2474.0,1071.0,1605.0,0.0,3083.0
Delayed,LAS,10,Frontier Airlines,61,3248.0,0.0,1026.0,0.0,1144.0,0.0,1078.0
Delayed,LAS,10,Hawaiian Airlines,17,1749.0,0.0,1605.0,45.0,0.0,0.0,99.0
Delayed,LAS,10,Spirit Airlines,195,10395.0,0.0,267.0,26.0,9432.0,0.0,670.0
Delayed,LAS,10,SkyWest Airlines,51,2950.0,0.0,840.0,0.0,628.0,0.0,1482.0
Delayed,LAS,10,United Airlines,165,11172.0,0.0,2399.0,126.0,3314.0,0.0,5333.0
Delayed,LAS,10,Virgin America,81,4880.0,0.0,336.0,27.0,1683.0,0.0,2834.0
Delayed,LAS,10,Southwest Airlines,984,46439.0,0.0,13584.0,430.0,9221.0,0.0,23204.0
Delayed,LAX,10,American Airlines,435,21316.0,0.0,8780.0,50.0,6216.0,125.0,6145.0
Delayed,LAX,10,Alaska Airlines,69,2565.0,0.0,613.0,15.0,1276.0,69.0,592.0
Delayed,LAX,10,JetBlue Airways,60,3008.0,0.0,865.0,0.0,1471.0,0.0,672.0
Delayed,LAX,10,Delta Air Lines,344,17537.0,0.0,9106.0,49.0,3639.0,0.0,4743.0
Delayed,LAX,10,Frontier Airlines,25,1707.0,0.0,910.0,0.0,329.0,0.0,468.0
Delayed,LAX,10,Hawaiian Airlines,17,1273.0,0.0,825.0,0.0,201.0,0.0,247.0
Delayed,LAX,10,Spirit Airlines,120,6612.0,0.0,190.0,0.0,6077.0,0.0,345.0
Delayed,LAX,10,SkyWest Airlines,361,17803.0,0.0,7150.0,541.0,2326.0,0.0,7786.0
Delayed,LAX,10,United Airlines,281,18298.0,0.0,8589.0,281.0,2951.0,0.0,6477.0
Delayed,LAX,10,Virgin America,222,10972.0,0.0,3003.0,439.0,3995.0,79.0,3456.0
Delayed,LAX,10,Southwest Airlines,552,24921.0,0.0,5766.0,600.0,4555.0,0.0,14000.0
Delayed,MSP,10,American Airlines,76,4272.0,0.0,1727.0,211.0,1010.0,0.0,1324.0
Delayed,MSP,10,Alaska Airlines,11,342.0,0.0,89.0,0.0,120.0,0.0,133.0
Delayed,MSP,10,Delta Air Lines,438,20741.0,0.0,12160.0,134.0,4905.0,0.0,3542.0
Delayed,MSP,10,ExpressJet Airlines,72,3422.0,0.0,1521.0,0.0,344.0,0.0,1557.0
Delayed,MSP,10,Frontier Airlines,35,2020.0,0.0,668.0,0.0,581.0,0.0,771.0
Delayed,MSP,10,Spirit Airlines,94,3285.0,0.0,131.0,0.0,2882.0,0.0,272.0
Delayed,MSP,10,SkyWest Airlines,266,14441.0,0.0,7038.0,217.0,1736.0,0.0,5450.0
Delayed,MSP,10,United Airlines,26,1607.0,0.0,609.0,0.0,251.0,0.0,747.0
Delayed,MSP,10,Southwest Airlines,46,1915.0,0.0,810.0,0.0,166.0,0.0,939.0
Delayed,ORD,10,American Airlines,616,35101.0,0.0,14483.0,806.0,6707.0,7.0,13098.0
Delayed,ORD,10,Alaska Airlines,21,848.0,0.0,122.0,0.0,354.0,0.0,372.0
Delayed,ORD,10,JetBlue Airways,50,2879.0,0.0,736.0,0.0,1244.0,1.0,898.0
Delayed,ORD,10,Delta Air Lines,59,3356.0,0.0,1812.0,34.0,845.0,0.0,665.0
Delayed,ORD,10,ExpressJet Airlines,567,20421.0,0.0,6560.0,174.0,8177.0,0.0,5510.0
Delayed,ORD,10,Frontier Airlines,94,5757.0,0.0,1778.0,0.0,1969.0,0.0,2010.0
Delayed,ORD,10,Envoy Air,432,17463.0,0.0,7835.0,215.0,2565.0,69.0,6779.0
Delayed,ORD,10,Spirit Airlines,214,9671.0,0.0,622.0,64.0,8285.0,10.0,690.0
Delayed,ORD,10,SkyWest Airlines,694,28071.0,0.0,12191.0,282.0,7720.0,0.0,7878.0
Delayed,ORD,10,United Airlines,890,46312.0,0.0,18478.0,206.0,12845.0,0.0,14783.0
Delayed,ORD,10,Virgin America,13,513.0,0.0,88.0,0.0,154.0,0.0,271.0
Delayed,PHX,10,American Airlines,768,35161.0,0.0,16753.0,621.0,9753.0,173.0,7861.0
Delayed,PHX,10,Alaska Airlines,25,1255.0,0.0,72.0,1.0,734.0,0.0,448.0
Delayed,PHX,10,JetBlue Airways,12,466.0,0.0,108.0,0.0,91.0,0.0,267.0
Delayed,PHX,10,Delta Air Lines,39,2075.0,0.0,716.0,0.0,413.0,0.0,946.0
Delayed,PHX,10,Frontier Airlines,26,1324.0,0.0,148.0,2.0,283.0,0.0,891.0
Delayed,PHX,10,Hawaiian Airlines,11,522.0,0.0,513.0,9.0,0.0,0.0,0.0
Delayed,PHX,10,Spirit Airlines,9,1383.0,0.0,241.0,0.0,1142.0,0.0,0.0
Delayed,PHX,10,SkyWest Airlines,209,9379.0,0.0,2529.0,53.0,2048.0,39.0,4710.0
Delayed,PHX,10,United Airlines,54,3286.0,0.0,733.0,282.0,616.0,0.0,1655.0
Delayed,PHX,10,Southwest Airlines,611,23960.0,0.0,7199.0,1179.0,4268.0,0.0,11314.0
Delayed,SFO,10,American Airlines,226,11042.0,0.0,3454.0,0.0,4384.0,0.0,3204.0
Delayed,SFO,10,Alaska Airlines,83,3648.0,0.0,703.0,8.0,1111.0,19.0,1807.0
Delayed,SFO,10,JetBlue Airways,95,4384.0,0.0,1445.0,61.0,1488.0,0.0,1390.0
Delayed,SFO,10,Delta Air Lines,146,6204.0,0.0,1911.0,6.0,2020.0,0.0,2267.0
Delayed,SFO,10,Frontier Airlines,38,2053.0,0.0,634.0,0.0,504.0,0.0,915.0
Delayed,SFO,10,Hawaiian Airlines,18,449.0,0.0,449.0,0.0,0.0,0.0,0.0
Delayed,SFO,10,SkyWest Airlines,615,34265.0,0.0,10192.0,559.0,4836.0,0.0,18678.0
Delayed,SFO,10,United Airlines,566,33623.0,0.0,15362.0,220.0,4986.0,0.0,13055.0
Delayed,SFO,10,Virgin America,249,13057.0,0.0,2559.0,377.0,3132.0,6.0,6983.0
Delayed,SFO,10,Southwest Airlines,203,10201.0,0.0,2092.0,298.0,1367.0,0.0,6444.0
