RecordType,Origin,Month,CarrierName,Count,ArrDelayMins,Cancellations,CarrierDelayMins,WeatherDelayMins,NasDelayMins,SecurityDelayMins,LateAircraftDelayMins
OnTime,ATL,9,American Airlines,830,0,0.0,0,0,0,0,0
OnTime,ATL,9,Alaska Airlines,51,0,0.0,0,0,0,0,0
OnTime,ATL,9,Delta Air Lines,18360,0,0.0,0,0,0,0,0
OnTime,ATL,9,ExpressJet Airlines,4093,0,0.0,0,0,0,0,0
OnTime,ATL,9,Frontier Airlines,440,0,0.0,0,0,0,0,0
OnTime,ATL,9,Envoy Air,55,0,0.0,0,0,0,0,0
OnTime,ATL,9,Spirit Airlines,352,0,0.0,0,0,0,0,0
OnTime,ATL,9,SkyWest Airlines,341,0,0.0,0,0,0,0,0
OnTime,ATL,9,United Airlines,286,0,0.0,0,0,0,0,0
OnTime,ATL,9,Southwest Airlines,3050,0,0.0,0,0,0,0,0
OnTime,DEN,9,American Airlines,711,0,0.0,0,0,0,0,0
OnTime,DEN,9,Alaska Airlines,132,0,0.0,0,0,0,0,0
OnTime,DEN,9,JetBlue Airways,75,0,0.0,0,0,0,0,0
OnTime,DEN,9,Delta Air Lines,601,0,0.0,0,0,0,0,0
OnTime,DEN,9,Frontier Airlines,1756,0,0.0,0,0,0,0,0
OnTime,DEN,9,Spirit Airlines,281,0,0.0,0,0,0,0,0
OnTime,DEN,9,SkyWest Airlines,3534,0,0.0,0,0,0,0,0
OnTime,DEN,9,United Airlines,3682,0,0.0,0,0,0,0,0
OnTime,DEN,9,Southwest Airlines,4414,0,0.0,0,0,0,0,0
OnTime,DFW,9,American Airlines,10315,0,0.0,0,0,0,0,0
OnTime,DFW,9,Alaska Airlines,120,0,0.0,0,0,0,0,0
OnTime,DFW,9,JetBlue Airways,52,0,0.0,0,0,0,0,0
OnTime,DFW,9,Delta Air Lines,453,0,0.0,0,0,0,0,0
OnTime,DFW,9,ExpressJet Airlines,2215,0,0.0,0,0,0,0,0
OnTime,DFW,9,Frontier Airlines,108,0,0.0,0,0,0,0,0
OnTime,DFW,9,Envoy Air,3291,0,0.0,0,0,0,0,0
OnTime,DFW,9,Spirit Airlines,649,0,0.0,0,0,0,0,0
OnTime,DFW,9,SkyWest Airlines,294,0,0.0,0,0,0,0,0
OnTime,DFW,9,United Airlines,237,0,0.0,0,0,0,0,0
OnTime,IAH,9,American Airlines,662,0,0.0,0,0,0,0,0
OnTime,IAH,9,Alaska Airlines,33,0,0.0,0,0,0,0,0
OnTime,IAH,9,Delta Air Lines,192,0,0.0,0,0,0,0,0
OnTime,IAH,9,ExpressJet Airlines,4103,0,0.0,0,0,0,0,0
OnTime,IAH,9,Frontier Airlines,119,0,0.0,0,0,0,0,0
OnTime,IAH,9,Spirit Airlines,383,0,0.0,0,0,0,0,0
OnTime,IAH,9,SkyWest Airlines,1065,0,0.0,0,0,0,0,0
OnTime,IAH,9,United Airlines,3850,0,0.0,0,0,0,0,0
OnTime,LAS,9,American Airlines,1122,0,0.0,0,0,0,0,0
OnTime,LAS,9,Alaska Airlines,289,0,0.0,0,0,0,0,0
OnTime,LAS,9,JetBlue Airways,323,0,0.0,0,0,0,0,0
OnTime,LAS,9,Delta Air Lines,940,0,0.0,0,0,0,0,0
OnTime,LAS,9,Frontier Airlines,390,0,0.0,0,0,0,0,0
OnTime,LAS,9,Hawaiian Airlines,55,0,0.0,0,0,0,0,0
OnTime,LAS,9,Spirit Airlines,721,0,0.0,0,0,0,0,0
OnTime,LAS,9,SkyWest Airlines,112,0,0.0,0,0,0,0,0
OnTime,LAS,9,United Airlines,933,0,0.0,0,0,0,0,0
OnTime,LAS,9,Virgin America,277,0,0.0,0,0,0,0,0
OnTime,LAS,9,Southwest Airlines,5421,0,0.0,0,0,0,0,0
OnTime,LAX,9,American Airlines,2787,0,0.0,0,0,0,0,0
OnTime,LAX,9,Alaska Airlines,800,0,0.0,0,0,0,0,0
OnTime,LAX,9,JetBlue Airways,302,0,0.0,0,0,0,0,0
OnTime,LAX,9,Delta Air Lines,2180,0,0.0,0,0,0,0,0
OnTime,LAX,9,Frontier Airlines,132,0,0.0,0,0,0,0,0
OnTime,LAX,9,Hawaiian Airlines,123,0,0.0,0,0,0,0,0
OnTime,LAX,9,Spirit Airlines,335,0,0.0,0,0,0,0,0
OnTime,LAX,9,SkyWest Airlines,2413,0,0.0,0,0,0,0,0
OnTime,LAX,9,United Airlines,2131,0,0.0,0,0,0,0,0
OnTime,LAX,9,Virgin America,899,0,0.0,0,0,0,0,0
OnTime,LAX,9,Southwest Airlines,2687,0,0.0,0,0,0,0,0
OnTime,MSP,9,American Airlines,591,0,0.0,0,0,0,0,0
OnTime,MSP,9,Alaska Airlines,46,0,0.0,0,0,0,0,0
OnTime,MSP,9,Delta Air Lines,4651,0,0.0,0,0,0,0,0
OnTime,MSP,9,ExpressJet Airlines,297,0,0.0,0,0,0,0,0
OnTime,MSP,9,Frontier Airlines,164,0,0.0,0,0,0,0,0
OnTime,MSP,9,Spirit Airlines,185,0,0.0,0,0,0,0,0
OnTime,MSP,9,SkyWest Airlines,1941,0,0.0,0,0,0,0,0
OnTime,MSP,9,United Airlines,285,0,0.0,0,0,0,0,0
OnTime,MSP,9,Southwest Airlines,611,0,0.0,0,0,0,0,0
OnTime,ORD,9,American Airlines,4020,0,0.0,0,0,0,0,0
OnTime,ORD,9,Alaska Airlines,158,0,0.0,0,0,0,0,0
OnTime,ORD,9,JetBlue Airways,166,0,0.0,0,0,0,0,0
OnTime,ORD,9,Delta Air Lines,555,0,0.0,0,0,0,0,0
OnTime,ORD,9,ExpressJet Airlines,3158,0,0.0,0,0,0,0,0
OnTime,ORD,9,Frontier Airlines,345,0,0.0,0,0,0,0,0
OnTime,ORD,9,Envoy Air,4778,0,0.0,0,0,0,0,0
OnTime,ORD,9,Spirit Airlines,688,0,0.0,0,0,0,0,0
OnTime,ORD,9,SkyWest Airlines,2963,0,0.0,0,0,0,0,0
OnTime,ORD,9,United Airlines,4522,0,0.0,0,0,0,0,0
OnTime,ORD,9,Virgin America,118,0,0.0,0,0,0,0,0
OnTime,PHX,9,American Airlines,3911,0,0.0,0,0,0,0,0
OnTime,PHX,9,Alaska Airlines,160,0,0.0,0,0,0,0,0
OnTime,PHX,9,JetBlue Airways,44,0,0.0,0,0,0,0,0
OnTime,PHX,9,Delta Air Lines,508,0,0.0,0,0,0,0,0
OnTime,PHX,9,ExpressJet Airlines,1,0,0.0,0,0,0,0,0
